index, 0000000115, temp, 56.000, fisrtframe, 33.262, 16frames_time, 129.378, imgproc_time, 46.877, 
index, 0000000116, temp, 56.000, fisrtframe, 32.909, 16frames_time, 127.761, imgproc_time, 50.862, 
index, 0000000117, temp, 56.000, fisrtframe, 34.920, 16frames_time, 127.655, imgproc_time, 57.845, 
index, 0000000118, temp, 56.000, fisrtframe, 32.913, 16frames_time, 126.659, imgproc_time, 48.869, 
index, 0000000119, temp, 56.000, fisrtframe, 30.266, 16frames_time, 125.124, imgproc_time, 56.847, 
index, 0000000120, temp, 56.000, fisrtframe, 33.307, 16frames_time, 127.961, imgproc_time, 43.907, 
index, 0000000121, temp, 56.000, fisrtframe, 32.911, 16frames_time, 126.660, imgproc_time, 54.856, 
index, 0000000122, temp, 56.000, fisrtframe, 34.576, 16frames_time, 129.475, imgproc_time, 40.888, 
index, 0000000123, temp, 56.000, fisrtframe, 30.934, 16frames_time, 128.371, imgproc_time, 43.884, 
index, 0000000124, temp, 56.000, fisrtframe, 36.901, 16frames_time, 126.660, imgproc_time, 56.846, 
index, 0000000125, temp, 56.000, fisrtframe, 33.375, 16frames_time, 128.546, imgproc_time, 41.878, 
index, 0000000126, temp, 56.000, fisrtframe, 33.271, 16frames_time, 129.025, imgproc_time, 44.880, 
index, 0000000127, temp, 56.000, fisrtframe, 32.908, 16frames_time, 126.726, imgproc_time, 48.870, 
index, 0000000128, temp, 56.000, fisrtframe, 33.909, 16frames_time, 130.906, imgproc_time, 40.888, 
index, 0000000129, temp, 56.000, fisrtframe, 32.912, 16frames_time, 128.885, imgproc_time, 45.880, 
index, 0000000130, temp, 56.000, fisrtframe, 32.912, 16frames_time, 126.808, imgproc_time, 51.859, 
